,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Mid,Maturity,Time to Maturity,Type,Spot,Moneyness,Fed Funds Rate (%)
0,SPY210716C00185000,2021-05-28 1:43PM EDT,185.0,235.68,237.52,238.58,0.0,-,8,0,142.19%,238.05,2021-07-16,0.06301369863013699,C,423.11,2.287081081081081,0.06
1,SPY210716C00200000,2021-06-17 12:49PM EDT,200.0,220.45,222.54,223.58,0.0,-,337,1,129.79%,223.06,2021-07-16,0.06301369863013699,C,423.11,2.1155500000000003,0.06
2,SPY210716C00210000,2021-06-18 11:30AM EDT,210.0,205.75,212.53,213.59,0.0,-,13,13,122.36%,213.06,2021-07-16,0.06301369863013699,C,423.11,2.014809523809524,0.06
3,SPY210716C00215000,2021-02-01 2:51PM EDT,215.0,162.08,160.14,160.72,0.0,-,1,1,0.00%,160.43,2021-07-16,0.06301369863013699,C,423.11,1.967953488372093,0.06
4,SPY210716C00220000,2021-06-17 4:02PM EDT,220.0,202.15,202.55,203.59,0.0,-,2,0,114.94%,203.07,2021-07-16,0.06301369863013699,C,423.11,1.9232272727272728,0.06
5,SPY210716C00230000,2021-06-18 11:31AM EDT,230.0,185.75,192.54,193.6,0.0,-,1,1,108.15%,193.07,2021-07-16,0.06301369863013699,C,423.11,1.839608695652174,0.06
6,SPY210716C00235000,2021-05-10 10:31AM EDT,235.0,186.58,186.45,187.24,0.0,-,6,0,0.00%,186.845,2021-07-16,0.06301369863013699,C,423.11,1.800468085106383,0.06
7,SPY210716C00240000,2021-04-05 10:21AM EDT,240.0,165.81,176.21,176.58,0.0,-,-,0,0.00%,176.395,2021-07-16,0.06301369863013699,C,423.11,1.7629583333333334,0.06
8,SPY210716C00245000,2021-04-12 9:45AM EDT,245.0,166.66,166.98,167.46,0.0,-,2,0,0.00%,167.22,2021-07-16,0.06301369863013699,C,423.11,1.7269795918367348,0.06
9,SPY210716C00250000,2021-06-17 4:02PM EDT,250.0,172.15,172.55,173.61,0.0,-,3,4,95.02%,173.08,2021-07-16,0.06301369863013699,C,423.11,1.69244,0.06
10,SPY210716C00255000,2021-03-15 12:04AM EDT,255.0,134.56,0.0,0.0,0.0,-,2,0,0.00%,0.0,2021-07-16,0.06301369863013699,C,423.11,1.6592549019607843,0.06
11,SPY210716C00260000,2021-06-21 12:06PM EDT,260.0,160.16,162.57,163.62,0.0,-,2,2,88.96%,163.095,2021-07-16,0.06301369863013699,C,423.11,1.627346153846154,0.06
